8.73,-0.59,-3.75,-0.05,0.03,0.01
8.75,-0.62,-3.69,-0.05,0.02,0.01
8.71,-0.62,-3.72,-0.05,-0.00,0.02
8.73,-0.59,-3.79,-0.06,0.01,0.01
8.75,-0.59,-3.84,-0.05,0.01,0.01
8.68,-0.61,-3.82,-0.05,0.02,0.01
8.70,-0.60,-3.71,-0.05,0.04,0.01
8.71,-0.59,-3.80,-0.04,0.03,0.02
8.71,-0.61,-3.75,-0.04,0.04,0.02
8.71,-0.66,-3.73,-0.05,0.03,0.01
8.74,-0.61,-3.74,-0.05,0.03,0.01
8.72,-0.59,-3.71,-0.05,0.03,0.02
8.72,-0.59,-3.75,-0.05,0.01,0.02
8.71,-0.62,-3.72,-0.06,0.02,0.01
8.71,-0.59,-3.69,-0.05,0.01,0.02
8.76,-0.59,-3.78,-0.05,0.04,0.01
8.74,-0.62,-3.73,-0.05,0.03,0.02
8.71,-0.57,-3.80,-0.04,0.03,0.02
8.71,-0.62,-3.70,-0.05,0.03,0.01
8.72,-0.61,-3.72,-0.05,0.02,0.02
8.72,-0.62,-3.66,-0.05,0.03,0.02
8.76,-0.60,-3.71,-0.05,0.02,0.02
8.72,-0.61,-3.70,-0.05,0.02,0.02
8.72,-0.64,-3.73,-0.05,0.02,0.01
8.71,-0.62,-3.75,-0.05,0.02,0.01
8.71,-0.60,-3.72,-0.05,0.02,0.01
8.72,-0.63,-3.69,-0.05,0.03,0.01
8.76,-0.59,-3.70,-0.05,0.02,0.01
8.71,-0.60,-3.74,-0.05,0.03,0.01
8.74,-0.63,-3.70,-0.05,0.03,0.02
8.76,-0.61,-3.74,-0.05,0.03,0.02
8.76,-0.62,-3.65,-0.05,0.03,0.02
8.76,-0.61,-3.69,-0.05,0.02,0.02
8.76,-0.64,-3.72,-0.05,0.02,0.01
8.75,-0.63,-3.68,-0.05,0.02,0.01
8.72,-0.59,-3.69,-0.05,0.02,0.01
8.73,-0.57,-3.70,-0.05,0.02,0.01
8.72,-0.60,-3.69,-0.05,0.02,0.01
8.74,-0.60,-3.73,-0.05,0.02,0.02
8.76,-0.60,-3.75,-0.05,0.02,0.02
8.74,-0.59,-3.70,-0.05,0.02,0.01
8.76,-0.63,-3.71,-0.05,0.03,0.02
8.76,-0.63,-3.68,-0.05,0.02,0.02
8.74,-0.60,-3.69,-0.05,0.02,0.01
8.70,-0.62,-3.72,-0.04,0.02,0.02
8.70,-0.62,-3.76,-0.05,0.02,0.02
8.70,-0.60,-3.79,-0.05,0.02,0.02
8.70,-0.62,-3.71,-0.05,0.02,0.02
8.76,-0.59,-3.69,-0.05,0.02,0.02
8.68,-0.64,-3.77,-0.05,0.02,0.02
8.73,-0.65,-3.78,-0.05,0.02,0.02
8.71,-0.67,-3.71,-0.05,0.03,0.02
8.72,-0.68,-3.69,-0.05,0.04,0.01
8.72,-0.64,-3.73,-0.06,0.05,-0.00
8.80,-0.55,-3.71,-0.08,0.05,-0.01
9.03,-0.73,-3.73,-0.05,0.11,0.11
12.70,-5.96,-5.12,-1.08,-1.58,-0.71
13.36,-1.76,1.64,1.49,-0.02,0.02
9.56,-1.08,-1.62,0.02,2.00,0.66
9.96,-2.38,-7.73,1.06,0.68,0.82
3.35,1.83,-8.44,1.27,1.48,-0.11
7.61,0.05,1.68,-1.69,-1.22,-0.65
10.87,-2.52,-6.17,-0.27,-0.70,-0.85
9.19,0.30,-3.37,-0.22,-0.18,-0.38
8.64,-0.92,-3.42,-0.16,-0.15,-0.12
8.71,-0.82,-3.83,-0.12,-0.13,-0.04
8.69,-0.67,-4.02,-0.07,-0.08,0.01
8.58,-0.71,-3.99,-0.03,-0.10,0.02
8.66,-0.06,-2.25,0.13,-1.25,0.18
10.16,-4.09,-8.01,-1.46,-5.99,0.01
10.93,-3.49,-0.66,-0.92,0.16,-0.10
7.90,-3.98,-4.19,1.14,3.52,-0.29
8.50,0.82,-9.73,1.11,3.98,0.33
6.33,1.82,-15.77,0.78,3.03,1.32
-18.61,2.27,3.56,-0.39,-1.22,0.31
12.71,5.94,-6.49,-0.53,-1.10,-1.45
9.01,-0.70,-3.67,-0.12,-0.18,-0.09
9.03,-0.28,-3.75,-0.12,-0.12,-0.10
8.76,-0.55,-3.77,-0.07,-0.06,0.01
8.65,-0.66,-3.91,-0.01,-0.12,0.05
8.74,-0.54,-3.62,0.14,-0.70,0.02
9.12,-2.13,-4.77,-0.89,-4.68,0.70
13.22,-5.21,1.67,-0.60,-0.95,-0.91
10.17,-4.36,-3.54,0.72,3.03,-0.09
11.77,0.57,-10.13,1.05,4.14,0.08
7.39,-3.15,-16.74,1.23,2.41,1.62
-12.38,8.82,-14.84,1.23,-2.49,0.61
12.76,5.54,-6.93,-0.37,-0.91,-1.37
9.80,-0.33,-4.00,-0.14,-0.24,-0.30
8.83,-0.98,-3.53,-0.15,-0.13,-0.05
8.80,-0.89,-3.92,-0.17,-0.16,-0.05
8.70,-0.75,-3.88,-0.13,-0.13,-0.04
8.59,-0.44,-3.79,0.08,-0.50,-0.02
8.76,-4.20,-1.86,-0.53,-4.26,0.66
21.42,-9.89,-7.80,-0.48,-1.94,-2.35
9.50,-6.10,-2.59,0.63,2.88,-1.09
6.75,-2.98,-8.95,1.81,3.83,-0.99
6.85,1.04,-12.96,0.26,2.08,1.60
-3.29,4.36,-16.13,-0.12,2.21,1.29
11.00,-15.27,-9.85,-1.25,-2.42,-3.14
9.14,-0.40,-3.52,-0.15,-0.15,-0.20
8.74,-0.52,-3.47,-0.09,-0.11,-0.05
8.80,-0.43,-3.79,-0.08,-0.07,-0.01
8.69,-0.52,-3.80,-0.06,-0.05,0.05
8.75,-0.61,-3.41,-0.13,-0.44,-0.02
9.82,0.47,0.06,-0.39,-5.68,1.17
17.13,-11.37,-4.57,-3.00,1.15,2.96
12.45,7.59,-3.62,0.06,3.59,2.57
9.29,9.99,-10.49,-2.65,4.74,2.78
5.34,5.38,-15.37,-2.83,3.36,2.98
10.58,-9.87,-1.06,-3.17,-1.28,-2.04
10.59,1.52,-3.32,-0.05,-0.65,-0.73
9.21,-0.42,-3.84,-0.04,-0.11,-0.06
8.82,0.05,-3.24,-0.12,-0.09,-0.04
8.88,-0.55,-3.85,-0.09,-0.01,0.01
8.84,-0.43,-3.60,-0.07,-0.04,0.04
8.88,-0.13,-3.61,-0.06,-0.26,0.13
10.68,5.87,-2.70,-1.01,-3.43,2.80
21.86,-6.21,-13.40,-4.47,0.04,4.78
13.36,0.63,-3.28,-0.84,2.71,2.54
9.45,4.58,-8.25,-1.89,4.04,1.81
10.31,1.99,-15.01,-1.95,3.30,2.27
6.67,3.04,-2.73,-1.50,-1.36,-1.02
11.14,0.86,-5.27,-0.07,-0.70,-0.94
9.14,-0.92,-3.57,-0.01,-0.17,0.01
8.62,-1.01,-3.25,-0.09,-0.23,0.04
8.71,-1.13,-3.84,-0.06,-0.15,0.10
8.63,-1.37,-4.16,-0.11,-0.06,0.03
8.55,-0.99,-3.83,-0.16,-0.13,-0.06
8.61,-0.48,-3.51,0.20,-0.81,0.17
9.71,-0.44,-4.44,-0.40,-4.92,1.31
22.76,-8.84,-6.93,-1.98,-0.06,0.41
11.00,-8.22,-4.09,-0.08,3.24,-0.43
10.46,-1.20,-10.11,1.01,4.19,-0.50
6.71,0.42,-12.93,0.35,2.23,1.75
-16.70,6.22,-7.90,0.82,0.38,0.18
8.70,5.95,-0.79,-0.60,-1.23,-2.22
8.97,-0.66,-3.33,-0.12,-0.20,-0.08
8.52,-1.43,-3.64,-0.12,-0.18,-0.04
8.66,-0.86,-4.01,-0.06,-0.17,-0.03
8.48,-0.84,-3.93,0.02,-0.25,0.03
8.32,-0.74,-3.67,0.14,-0.79,0.06
8.36,-2.69,-4.45,-0.86,-5.05,0.60
20.65,-5.06,-8.06,-1.21,-1.22,-1.06
8.89,-7.48,-4.10,0.47,3.49,-1.29
8.08,-4.00,-10.40,1.92,3.99,-1.13
6.04,-1.99,-12.65,0.99,3.10,1.00
-9.96,7.50,-14.56,0.81,1.55,1.01
23.50,-13.85,-23.72,-1.36,-3.44,-1.08
9.19,0.42,-3.17,-0.21,-0.23,-0.21
8.74,-0.73,-3.55,-0.14,-0.14,-0.05
8.76,-0.60,-3.88,-0.11,-0.00,-0.04
8.68,-0.49,-3.74,-0.07,-0.01,0.03
8.68,-0.61,-3.74,0.05,-0.37,0.01
9.94,-4.34,-1.29,-0.23,-3.77,0.96
25.54,-15.05,-17.81,-0.56,-3.39,-2.15
11.36,-1.72,-1.33,0.50,2.52,0.14
7.94,2.28,-7.98,0.46,4.51,0.54
7.36,7.35,-14.31,-0.77,3.48,2.38
-12.28,6.95,-15.58,-0.78,1.42,2.04
20.00,14.05,-16.33,-1.13,-2.18,-3.77
9.28,-0.11,-3.36,-0.12,-0.19,-0.14
8.83,-0.47,-3.42,-0.09,-0.11,-0.02
8.80,-0.55,-3.69,-0.10,-0.06,0.01
8.83,-0.46,-3.84,-0.06,-0.08,0.05
8.84,-0.51,-3.95,-0.06,-0.29,0.05
8.59,0.53,-1.82,0.37,-1.82,0.67
9.89,0.23,-4.97,-1.15,-5.87,6.55
9.32,1.14,0.39,-1.66,2.20,2.20
9.24,5.28,-7.59,-0.81,4.59,1.28
9.68,7.02,-14.24,-2.02,3.94,1.54
-9.10,2.64,-14.87,-1.58,2.09,1.61
16.44,0.81,-13.01,-0.80,-2.09,-2.70
9.53,-0.06,-3.68,-0.10,-0.03,-0.12
8.81,-0.68,-3.19,-0.09,-0.00,-0.01
8.88,-0.64,-3.46,-0.16,-0.07,-0.01
8.76,-0.31,-3.41,-0.10,-0.12,0.02
8.78,-0.41,-3.50,-0.06,-0.19,0.09
9.21,0.65,-1.34,-0.12,-1.64,0.63
10.17,-1.00,-10.48,-2.19,-4.79,5.93
10.66,-2.11,0.74,-1.33,1.61,2.90
10.43,8.16,-6.42,-1.38,4.17,2.02
12.35,9.45,-13.47,-2.44,3.14,3.08
-30.75,13.80,2.61,-1.70,0.19,-0.94
14.24,1.29,-8.85,-0.33,-0.89,-0.68
9.00,-0.50,-3.46,-0.05,-0.09,0.01
9.00,-0.28,-3.77,-0.11,-0.11,0.08
8.86,-0.63,-3.86,-0.13,-0.10,0.05
8.77,-0.63,-3.93,-0.09,-0.11,0.01
8.68,-0.49,-3.88,-0.00,-0.35,0.04
9.19,1.85,-1.40,0.31,-2.85,0.94
29.51,-11.04,-26.71,-1.58,-5.32,2.92
9.77,-4.09,-0.22,-0.72,1.77,0.09
8.52,-1.27,-6.62,0.79,4.02,-0.12
9.18,0.83,-11.93,0.31,3.52,0.64
-15.03,7.36,-18.95,1.95,2.64,1.28
15.63,19.51,-5.93,-1.27,-1.66,-3.63
9.14,-0.35,-3.67,-0.16,-0.19,-0.11
8.80,-0.63,-3.68,-0.11,-0.12,-0.01
8.82,-0.46,-3.92,-0.09,-0.04,0.01
8.60,-0.78,-3.77,-0.05,-0.05,0.02
8.72,-0.56,-3.64,0.11,-0.50,0.02
9.98,-3.37,-1.93,-0.50,-4.28,0.85
22.49,-11.88,-10.61,-0.74,-1.96,-1.14
9.17,-5.33,-1.41,0.06,2.58,-0.73
7.52,-2.93,-8.11,1.84,4.02,-0.52
7.86,0.49,-12.82,0.47,3.19,0.96
